boss_name_only,type_only,boss_name,item_id,item_name
Instructor Razuvious,_10,Instructor Razuvious_10,"39308, 39307, 39296, 39310, 39299, 39297, 39311, 39298, 39306, 39309","Girdle of Lenience, Iron Rings of Endurance, Accursed Bow of the Elite, Mantle of the Extensive Mind, Rapid Attack Gloves, Cloak of Darkening, Scepter of Murmuring Spirits, Waistguard of the Tutor, Plated Gloves of Relief, Leggings of the Instructor"
,_25,Instructor Razuvious_25,"40323, 40318, 40306, 40316, 40317, 40321, 40324, 40325, 40320, 40315, 40322, 40326, 40319, 40327, 40305, 40080, 40107, 40071, 40075, 40108, 40064, 40065, 40069, 40074","Esteemed Bindings, Legplates of Double Strikes, Bracers of the Unholy Knight, Gauntlets of Guiding Touch, Girdle of Razuvious, Idol of the Shooting Star, Bands of Mutual Respect, Bindings of the Expansive Mind, Faithful Steel Sabatons, Shoulderpads of Secret Arts, Totem of Dueling, Boots of Forlorn Wishes, Chestpiece of Suspicion, Girdle of Recuperation, Spaulders of Egotism, Lost Jewel, Sand-Worn Band, Chains of Adoration, Ruthlessness, Seized Beauty, Thunderstorm Amulet, Fool's Trial, Heritage, Strong-Handed Ring"
Gothik the Harvester,_10,Gothik the Harvester_10,"39391, 39369, 39390, 39386, 39345, 39389, 39388, 39392, 39344, 39379","Heinous Mail Chestguard, Sabatons of Deathlike Gloom, Resurgent Phantom Bindings, Tunic of Dislocation, Girdle of the Ascended Phantom, Signet of the Malevolent, Spirit-World Glass, Veiled Amulet of Life, Slayer of the Lifeless, Spectral Rider's Girdle"
,_25,Gothik the Harvester_25,"40334, 40342, 40331, 40336, 40339, 40328, 40329, 40335, 40338, 40341, 40332, 40340, 40337, 40330, 40333, 40253, 40250, 40254, 40252, 40257, 40256, 40255, 40258, 40251","Burdened Shoulderplates, Idol of Awakening, Leggings of Failed Escape, Life and Death, Gothik's Cowl, Helm of Vital Protection, Hood of the Exodus, Touch of Horror, Bindings of Yearning, Shackled Cinch, Abetment Bracers, Helm of Unleashed Energy, Libram of Resurgence, Bracers of Unrelenting Attack, Leggings of Fleeting Moments, Shawl of the Old Maid, Aged Winter Cloak, Cloak of Averted Crisis, Cloak of the Shadowed Sun, Defender's Code, Grim Toll, Dying Curse, Forethought Talisman, Shroud of Luminosity"
The Four Horsemen,_10,The Four Horsemen_10,"40612, 40610, 40611, 39394, 39397, 39396, 39393, 39395","Chestguard of the Lost Vanquisher, Chestguard of the Lost Conqueror, Chestguard of the Lost Protector, Charmed Cierge, Pauldrons of Havoc, Gown of Blaumeux, Claymore of Ancient Power, Thane's Tainted Greathelm"
,_25,The Four Horsemen_25,"40627, 40626, 40625, 40349, 40347, 40343, 40345, 40346, 40350, 40348, 40344, 40352, 40286","Breastplate of the Lost Vanquisher, Breastplate of the Lost Protector, Breastplate of the Lost Conqueror, Gloves of Peaceful Death, Zeliek's Gauntlets, Armageddon, Broken Promise, Final Voyage, Urn of Lost Memories, Damnation, Helm of the Grave, Leggings of Voracious Shadows, Mantle of the Corrupted"
Patchwerk,_10,Patchwerk_10,"39262, 39270, 39267, 39261, 39273, 39274, 39271, 39272, 39275","Gauntlets of Combined Strength, Hatestrike, Abomination Shoulderblades, Tainted Girdle of Mending, Sullen Cloth Boots, Retcher's Shoulderpads, Blade of Dormant Memories, Drape of Surgery, Contagion Gloves"
,_25,Patchwerk_25,"40267, 40273, 40261, 40262, 40264, 40265, 40260, 40269, 40270, 40263, 40266, 40271, 40259, 40272, 40268, 40107, 40074, 40069, 40108, 40071, 40065, 40064, 40080, 40075","Totem of Hex, Surplus Limb, Crude Discolored Battlegrips, Gloves of Calculated Risk, Split Greathammer, Arrowsong, Belt of the Tortured, Boots of Persuasion, Boots of Septic Wounds, Fleshless Girdle, Hero's Surrender, Sash of Solitude, Waistguard of Divine Grace, Girdle of the Gambit, Libram of Tolerance, Sand-Worn Band, Strong-Handed Ring, Heritage, Seized Beauty, Chains of Adoration, Fool's Trial, Thunderstorm Amulet, Lost Jewel, Ruthlessness"
Grobbulus,_10,Grobbulus_10,"39277, 39282, 39285, 39284, 39279, 39280, 39283, 39278, 39281, 39276","Sealing Ring of Grobbulus, Bone-Linked Amulet, Handgrips of Turmoil, Miasma Mantle, Blistered Belt of Decay, Leggings of Innumerable Barbs, Putrescent Bands, Bands of Anxiety, Infection Repulser, The Skull of Ruin"
,_25,Grobbulus_25,"40279, 40351, 40285, 40280, 40288, 40281, 40275, 40283, 40278, 40282, 40289, 40287, 40277, 40274, 40284, 40252, 40258, 40255, 40256, 40254, 40257, 40253, 40251, 40250","Chestguard of the Exhausted, Mantle of the Fatigued Sage, Desecrated Past, Origin of Nightmares, Spaulders of Incoherence, Twilight Mist, Depraved Linked Belt, Fallout Impervious Tunic, Girdle of Chivalry, Slime Stream Bands, Sympathetic Amice, Cowl of Vanity, Tunic of Indulgence, Bracers of Liberation, Plague Igniter, Cloak of the Shadowed Sun, Forethought Talisman, Dying Curse, Grim Toll, Cloak of Averted Crisis, Defender's Code, Shawl of the Old Maid, Shroud of Luminosity, Aged Winter Cloak"
Gluth,_10,Gluth_10,"39190, 39193, 39189, 39139, 39191, 39141, 39140, 39188, 39146, 39192, 39195, 39216, 39198, 39200, 39199, 39217, 39215, 39196, 39194, 39197, 39221, 39229, 39226, 39231, 39225, 39232, 39230, 39233, 39228, 39224, 39241, 39242, 39235, 39240, 39236, 39239, 39243, 39234, 39237, 39244, 39245, 39254, 39251, 39252, 39249, 39246, 39247, 39255, 39248, 39250, 40624, 40622, 40623, 39260, 39258, 39257, 39259, 39256, 39308, 39307, 39296, 39310, 39299, 39297, 39311, 39298, 39306, 39309, 39391, 39369, 39390, 39386, 39345, 39389, 39388, 39392, 39344, 39379, 39262, 39270, 39267, 39261, 39273, 39274, 39271, 39272, 39275, 39277, 39282, 39285, 39284, 39279, 39280, 39283, 39278, 39281, 39276, 40621, 40619, 40620, 39295, 39291, 39294, 39292, 39293","Agonal Sash, Band of Neglected Pleas, Boots of Persistence, Ravaging Sabatons, Splint-Bound Leggings, Deflection Band, Knife of Incision, Chivalric Chestguard, Collar of Dissolution, Gloves of Dark Gestures, Bracers of Lost Sentiments, Sash of Mortal Desire, Frostblight Pauldrons, Grieving Spellblade, Watchful Eye, Avenging Combat Leggings, Boots of the Follower, Boots of the Worshiper, Rusted-Link Spiked Gauntlets, Gauntlets of the Master, Wraith Spear, Embrace of the Spider, Maexxna's Femur, Timeworn Silken Band, Cloak of Armed Strife, Pendant of Lost Vocations, Spaulders of the Monstrosity, Aegis of Damnation, Web Cocoon Grips, Leggings of Discord, Dark Shroud of the Scourge, Robes of Hoarse Breaths, Bone-Framed Bracers, Noth's Curse, Trespasser's Boots, Chestplate of the Risen Soldier, Handgrips of the Foredoomed, Plague-Impervious Boots, Spaulders of Resumed Battle, Ring of the Fated, Demise, Saltarello Shoes, Necrogenic Belt, Preceptor's Bindings, Shoulderplates of Bloodshed, Amulet of Autopsy, Cuffs of Dark Shadows, Staff of the Plague Beast, Tunic of the Lost Pack, Ring of Holy Cleansing, Spaulders of the Lost Vanquisher, Spaulders of the Lost Conqueror, Spaulders of the Lost Protector, Helm of the Corrupted Mind, Legplates of Inescapable Death, Loatheb's Shadow, Fungi-Stained Coverings, Sulfur Stave, Girdle of Lenience, Iron Rings of Endurance, Accursed Bow of the Elite, Mantle of the Extensive Mind, Rapid Attack Gloves, Cloak of Darkening, Scepter of Murmuring Spirits, Waistguard of the Tutor, Plated Gloves of Relief, Leggings of the Instructor, Heinous Mail Chestguard, Sabatons of Deathlike Gloom, Resurgent Phantom Bindings, Tunic of Dislocation, Girdle of the Ascended Phantom, Signet of the Malevolent, Spirit-World Glass, Veiled Amulet of Life, Slayer of the Lifeless, Spectral Rider's Girdle, Gauntlets of Combined Strength, Hatestrike, Abomination Shoulderblades, Tainted Girdle of Mending, Sullen Cloth Boots, Retcher's Shoulderpads, Blade of Dormant Memories, Drape of Surgery, Contagion Gloves, Sealing Ring of Grobbulus, Bone-Linked Amulet, Handgrips of Turmoil, Miasma Mantle, Blistered Belt of Decay, Leggings of Innumerable Barbs, Putrescent Bands, Bands of Anxiety, Infection Repulser, The Skull of Ruin, Leggings of the Lost Vanquisher, Leggings of the Lost Conqueror, Leggings of the Lost Protector, Cowl of Sheet Lightning, Torment of the Banished, Arc-Scorched Helmet, Repelling Charge, Blackened Legplates of Feugen"
,_25,Gluth_25,"39712, 39716, 39714, 39717, 39702, 39718, 39719, 39722, 39701, 39720, 39704, 39706, 39703, 39721, 40065, 40080, 40074, 40069, 40075, 40064, 40071, 40107, 40108, 39734, 39725, 39732, 39729, 39724, 39728, 39756, 39727, 39723, 39731, 39735, 39726, 39733, 39757, 39730, 40069, 40065, 40071, 40080, 40107, 40074, 40075, 40108, 40064, 40061, 39762, 40063, 39765, 39758, 39766, 39767, 39768, 39760, 39759, 39764, 40062, 39763, 39761, 40060, 40253, 40250, 40254, 40257, 40255, 40252, 40258, 40256, 40251, 40192, 40200, 40197, 40185, 40196, 40190, 40186, 40193, 40184, 40191, 40198, 40187, 40189, 40188, 40602, 40069, 40074, 40071, 40080, 40108, 40065, 40075, 40107, 40064, 40210, 40237, 40234, 40206, 40236, 40207, 40205, 40209, 40203, 40238, 40233, 40235, 40201, 40208, 40204, 40251, 40256, 40250, 40254, 40258, 40252, 40257, 40255, 40253, 40639, 40637, 40638, 40239, 40246, 40247, 40243, 40241, 40244, 40245, 40240, 40242, 40249, 40323, 40318, 40306, 40316, 40317, 40321, 40324, 40325, 40320, 40315, 40322, 40326, 40319, 40327, 40305, 40080, 40107, 40071, 40075, 40108, 40064, 40065, 40069, 40074, 40334, 40342, 40331, 40336, 40339, 40328, 40329, 40335, 40338, 40341, 40332, 40340, 40337, 40330, 40333, 40253, 40250, 40254, 40252, 40257, 40256, 40255, 40258, 40251, 40267, 40273, 40261, 40262, 40264, 40265, 40260, 40269, 40270, 40263, 40266, 40271, 40259, 40272, 40268, 40107, 40074, 40069, 40108, 40071, 40065, 40064, 40080, 40075, 40279, 40351, 40285, 40280, 40288, 40281, 40275, 40283, 40278, 40282, 40289, 40287, 40277, 40274, 40284, 40252, 40258, 40255, 40256, 40254, 40257, 40253, 40251, 40250, 40636, 40634, 40635, 40301, 40304, 40299, 40297, 40302, 40303, 40296, 40298, 40294, 40300","Gemmed Wand of the Nerubians, Shield of Assimilation, Webbed Death, Inexorable Sabatons, Arachnoid Gold Band, Corpse Scarab Handguards, Mantle of the Locusts, Swarm Bindings, Dawnwalkers, Leggings of Atrophy, Pauldrons of Unnatural Death, Sabatons of Sudden Reprisal, Rescinding Grips, Sash of the Parlor, Fool's Trial, Lost Jewel, Strong-Handed Ring, Heritage, Ruthlessness, Thunderstorm Amulet, Chains of Adoration, Sand-Worn Band, Seized Beauty, Atonement Greaves, Epaulets of the Grieving Servant, Faerlina's Madness, Bracers of the Tyrant, Cult's Chestguard, Totem of Misery, Tunic of Prejudice, Dislocating Handguards, Fire-Scorched Greathelm, Punctilious Bindings, Belt of False Dignity, Callous-Hearted Gauntlets, Gloves of Token Respect, Idol of Worship, Widow's Fury, Heritage, Fool's Trial, Chains of Adoration, Lost Jewel, Sand-Worn Band, Strong-Handed Ring, Ruthlessness, Seized Beauty, Thunderstorm Amulet, Quivering Tunic, Torn Web Wrapping, Mantle of Shattered Kinship, Sinner's Bindings, The Jawbone, Matriarch's Spawn, Undiminished Battleplate, Cowl of the Perished, Helm of Diminished Pride, Ablative Chitin Girdle, Bindings of the Hapless Prey, Digested Silken Robes, Wraith Strike, Infectious Skitterer Leggings, Distorted Limbs, Shawl of the Old Maid, Aged Winter Cloak, Cloak of Averted Crisis, Defender's Code, Dying Curse, Cloak of the Shadowed Sun, Forethought Talisman, Grim Toll, Shroud of Luminosity, Accursed Spine, Belt of Potent Chanting, Gloves of the Fallen Wizard, Shoulderguards of Opportunity, Legguards of the Undisturbed, Spinning Fate, Thrusting Bands, Tunic of Masked Suffering, Crippled Treads, Libram of Radiance, Bands of Impurity, Poignant Sabatons, Angry Dread, Gauntlets of the Disobedient, Robes of Mutation, Heritage, Strong-Handed Ring, Chains of Adoration, Lost Jewel, Seized Beauty, Fool's Trial, Ruthlessness, Sand-Worn Band, Thunderstorm Amulet, Chestguard of Bitter Charms, Eruption-Scarred Boots, Heigan's Putrid Vestments, Iron-Spring Jumpers, Serene Echoes, Sigil of Awareness, Stalk-Skin Belt, Bindings of the Decrepit, Breastplate of Tormented Rage, Gloves of the Dancing Bear, The Undeath Carrier, Helm of Pilgrimage, Leggings of Colossal Strides, Cryptfiend's Bite, Legguards of the Apostle, Shroud of Luminosity, Grim Toll, Aged Winter Cloak, Cloak of Averted Crisis, Forethought Talisman, Cloak of the Shadowed Sun, Defender's Code, Dying Curse, Shawl of the Old Maid, Mantle of the Lost Vanquisher, Mantle of the Lost Conqueror, Mantle of the Lost Protector, The Hand of Nerub, Boots of Impetuous Ideals, Cowl of Innocent Delight, Footwraps of Vile Deceit, Girdle of Unity, The Impossible Dream, Fading Glow, Greaves of Turbulence, Grotesque Handgrips, Vest of Vitality, Esteemed Bindings, Legplates of Double Strikes, Bracers of the Unholy Knight, Gauntlets of Guiding Touch, Girdle of Razuvious, Idol of the Shooting Star, Bands of Mutual Respect, Bindings of the Expansive Mind, Faithful Steel Sabatons, Shoulderpads of Secret Arts, Totem of Dueling, Boots of Forlorn Wishes, Chestpiece of Suspicion, Girdle of Recuperation, Spaulders of Egotism, Lost Jewel, Sand-Worn Band, Chains of Adoration, Ruthlessness, Seized Beauty, Thunderstorm Amulet, Fool's Trial, Heritage, Strong-Handed Ring, Burdened Shoulderplates, Idol of Awakening, Leggings of Failed Escape, Life and Death, Gothik's Cowl, Helm of Vital Protection, Hood of the Exodus, Touch of Horror, Bindings of Yearning, Shackled Cinch, Abetment Bracers, Helm of Unleashed Energy, Libram of Resurgence, Bracers of Unrelenting Attack, Leggings of Fleeting Moments, Shawl of the Old Maid, Aged Winter Cloak, Cloak of Averted Crisis, Cloak of the Shadowed Sun, Defender's Code, Grim Toll, Dying Curse, Forethought Talisman, Shroud of Luminosity, Totem of Hex, Surplus Limb, Crude Discolored Battlegrips, Gloves of Calculated Risk, Split Greathammer, Arrowsong, Belt of the Tortured, Boots of Persuasion, Boots of Septic Wounds, Fleshless Girdle, Hero's Surrender, Sash of Solitude, Waistguard of Divine Grace, Girdle of the Gambit, Libram of Tolerance, Sand-Worn Band, Strong-Handed Ring, Heritage, Seized Beauty, Chains of Adoration, Fool's Trial, Thunderstorm Amulet, Lost Jewel, Ruthlessness, Chestguard of the Exhausted, Mantle of the Fatigued Sage, Desecrated Past, Origin of Nightmares, Spaulders of Incoherence, Twilight Mist, Depraved Linked Belt, Fallout Impervious Tunic, Girdle of Chivalry, Slime Stream Bands, Sympathetic Amice, Cowl of Vanity, Tunic of Indulgence, Bracers of Liberation, Plague Igniter, Cloak of the Shadowed Sun, Forethought Talisman, Dying Curse, Grim Toll, Cloak of Averted Crisis, Defender's Code, Shawl of the Old Maid, Shroud of Luminosity, Aged Winter Cloak, Legplates of the Lost Vanquisher, Legplates of the Lost Conqueror, Legplates of the Lost Protector, Cincture of Polarity, Headpiece of Fungal Bloom, Pauldrons of the Abandoned, Sabatons of Endurance, Benefactor's Gauntlets, Wraps of the Persecuted, Cover of Silence, Faceguard of the Succumbed, Riveted Abomination Leggings, Spire of Sunset"
Thaddius,_10,Thaddius_10,"40621, 40619, 40620, 39295, 39291, 39294, 39292, 39293","Leggings of the Lost Vanquisher, Leggings of the Lost Conqueror, Leggings of the Lost Protector, Cowl of Sheet Lightning, Torment of the Banished, Arc-Scorched Helmet, Repelling Charge, Blackened Legplates of Feugen"
,_25,Thaddius_25,"40636, 40634, 40635, 40301, 40304, 40299, 40297, 40302, 40303, 40296, 40298, 40294, 40300","Legplates of the Lost Vanquisher, Legplates of the Lost Conqueror, Legplates of the Lost Protector, Cincture of Polarity, Headpiece of Fungal Bloom, Pauldrons of the Abandoned, Sabatons of Endurance, Benefactor's Gauntlets, Wraps of the Persecuted, Cover of Silence, Faceguard of the Succumbed, Riveted Abomination Leggings, Spire of Sunset"
Sapphiron,_10,Sapphiron_10,"44569, 39415, 39401, 39407, 39398, 39404, 39403, 39408, 39409, 39399, 39405","Key to the Focusing Iris, Shroud of the Citadel, Circle of Death, Circle of Life, Massive Skeletal Ribcage, Cloak of Mastery, Helm of the Unsubmissive, Leggings of Sapphiron, Cowl of Winged Fear, Helm of the Vast Legions, Helmet of the Inner Sanctum"
,_25,Sapphiron_25,"44577, 40362, 40375, 40371, 40363, 40382, 40369, 40379, 40376, 40368, 40377, 40381, 40373, 40378, 40372, 40367, 40365, 40374, 40380, 40366, 40370","Heroic Key to the Focusing Iris, Gloves of Fast Reactions, Ring of Decaying Beauty, Bandit's Insignia, Bone-Inlaid Legguards, Soul of the Dead, Icy Blast Amulet, Legguards of the Boneyard, Legwraps of the Defeated Dragon, Murder, Noble Birthright Pauldrons, Sympathy, Extract of Necromantic Power, Ceaseless Pity, Rune of Repulsion, Boots of the Great Construct, Breastplate of Frozen Pain, Cosmic Lights, Gloves of Grandeur, Platehelm of the Great Wyrm, Gatekeeper"
Kel'Thuzad,_10,Kel'Thuzad_10,"40618, 40616, 40617, 39424, 39421, 39420, 39425, 39417, 39416, 39423, 39426, 39422, 39419","Helm of the Lost Vanquisher, Helm of the Lost Conqueror, Helm of the Lost Protector, The Soulblade, Gem of Imprisoned Vassals, Anarchy, Cloak of the Dying, Death's Bite, Kel'Thuzad's Reach, Hammer of the Astral Plane, Wand of the Archlich, Staff of the Plaguehound, Nerubian Conquerer"
,_25,Kel'Thuzad_25,"40633, 40631, 40632, 40405, 40384, 40387, 40403, 40385, 40399, 40396, 40383, 40388, 40395, 40400, 40402, 40398, 40401, 40386","Crown of the Lost Vanquisher, Crown of the Lost Conqueror, Crown of the Lost Protector, Cape of the Unworthy Wizard, Betrayer of Humanity, Boundless Ambition, Drape of the Deadly Foe, Envoy of Mortality, Signet of Manifested Pain, The Turning Tide, Calamity's Grasp, Journey's End, Torch of Holy Fire, Wall of Terror, Last Laugh, Leggings of Mortal Arrogance, Voice of Reason, Sinister Revenge"
Naxxramas trash,_10,Naxxramas trash_10,"39427, 39468, 39473, 39470, 39472, 39467","Omen of Ruin, The Stray, Contortion, Medallion of the Disgraced, Chain of Latent Energies, Minion Bracers"
,_25,Naxxramas trash_25,"40406, 40407, 40408, 40410, 40412, 40409, 40414","Inevitable Defeat, Silent Crusader, Haunting Call, Shadow Of The Ghoul, Ousted Bead Necklace, Boots Of The Escaped Captive, Shoulderguards Of The Undaunted"
